Snake,id_part,id_node,source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,radial_velocity_error,parallax_error,pmra_error,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr
0,layer10_83457,layer11_86719,3413734908459293440,78.62412702559062,19.66391930425382,3.067190712695896,0.1451977257660681,-6.431460974117309,,,0.17011695,0.20395306,0.1326164,0.02718252,0.3926883
0,layer10_83457,,3413745044582312576,78.89746778422575,19.852104415951214,3.240008264605584,-0.5731345501382528,-6.002774977864283,,,0.0788644,0.09643805,0.059218965,-0.12053508,0.3665532
0,layer10_83457,,3413747381044359168,78.57044679161025,19.70646713278705,3.2836120416403265,0.0912429370795352,-6.266846951074927,,,0.15330897,0.17175801,0.11375878,0.081523456,0.4008888
0,layer10_83457,,3413749167750851072,78.69281238097491,19.79548423450553,3.2923742380715195,-0.1036770924725689,-6.289696542900203,,,0.18156096,0.2033813,0.13411604,0.06261558,0.3842814
0,layer10_83457,,3413769513011985152,78.95913081326545,19.95399063959476,3.2702648150317586,-0.4857350370869134,-6.682761423279349,,,0.02698759,0.03119851,0.020341085,0.004369375,0.31404614
0,layer10_83457,,3413775659108219008,79.41115703346351,20.114666806185376,2.806650180035479,-0.5074836741020938,-6.717881363440535,,,0.12913129,0.15806085,0.11181392,0.019249013,0.3726744
0,layer10_83457,layer11_86719,3413776178801183488,79.29827855403687,20.11474297503087,3.1153639257490164,-0.6900451141332664,-6.700098580723392,,,0.080899864,0.111642644,0.07696303,0.3316837,0.34334046
0,layer10_83457,,3413776900355708288,79.18461255019083,20.04095972994972,2.555107338742689,0.0324691338104621,-6.158238914950156,,,0.05032316,0.05482227,0.04067014,-0.0053616865,0.51704866
0,layer10_83457,,3413818471342652544,78.18450431043242,20.06813180589268,2.915917938525749,-0.5268914889173424,-6.534948766229054,,,0.25681382,0.28898448,0.19460614,-0.001730829,0.4480098
0,layer10_83457,layer11_86719,3413842420081487232,78.75213905271771,20.37741874772456,3.1860318783548465,0.4407467108225751,-6.033415304632373,,,0.2847092,0.4038419,0.25406742,0.2784165,0.16167632
0,layer10_83457,,3413878016768753920,79.45034630522521,20.41286849437249,3.0084062320878746,-2.134369409821342,-5.918742080703167,,,0.228209,0.2796666,0.17051823,0.21431816,0.28557256
0,layer10_83457,,3413882311736164224,79.71282492324688,20.476072437917143,2.835441463396029,-0.3026782378033078,-6.551094535522106,,,0.14607422,0.15902798,0.103885576,-0.16855264,0.42205825
0,layer10_83457,,3413890729872009472,79.37914279680113,20.445269096602047,2.844452440833966,-0.2164429072224697,-5.8749308425271645,,,0.24485439,0.2913106,0.18264185,0.11893059,0.2998453
0,layer10_83457,,3413906711447141760,79.87942975993634,20.52986973016747,2.8679987910488207,-0.5768415546141902,-6.050059523438401,,,0.112308994,0.11892798,0.0820552,0.13763416,0.42867723
0,layer10_83457,,3414032193211806848,77.79247360975502,20.38575560290647,3.2913761358781954,1.1408023572006187,-6.438739150345003,,,0.10641053,0.12243503,0.08115438,0.12211794,0.2718198
